label,or,ci_low,ci_high,n,colour
Violent uprisings,1.0888187627645844,1.0291087273424462,1.151993240995715,104,
Peaceful gatherings,0.960664643889065,0.8836759439791912,1.0443608477818154,41,#56B4E9
